market,month,year,quantity,priceMin,priceMax,priceMod
ABOHAR(PB),January,2010,790,1283,1592,1460
ABOHAR(PB),January,2011,245,3067,3750,3433
ABOHAR(PB),January,2012,1035,523,686,605
ABOHAR(PB),January,2013,675,1327,1900,1605
ABOHAR(PB),January,2014,440,1025,1481,1256
ABOHAR(PB),January,2015,1305,1309,1858,1613
ABOHAR(PB),February,2010,555,1143,1460,1322
ABOHAR(PB),February,2011,300,950,1400,1125
ABOHAR(PB),February,2012,675,510,650,570
ABOHAR(PB),February,2013,845,1400,1843,1629
ABOHAR(PB),February,2014,1115,831,1163,983
ABOHAR(PB),February,2015,1115,1200,1946,1688
ABOHAR(PB),March,2010,385,510,878,688
ABOHAR(PB),March,2011,850,669,1042,855
ABOHAR(PB),March,2012,1295,538,675,608
ABOHAR(PB),March,2013,1055,920,1323,1080
ABOHAR(PB),March,2014,1300,844,1181,994
ABOHAR(PB),March,2015,920,1260,1980,1745
ABOHAR(PB),April,2010,840,466,755,611
ABOHAR(PB),April,2011,495,436,625,553
ABOHAR(PB),April,2012,2028,486,709,573
ABOHAR(PB),April,2013,932,892,1225,1035
ABOHAR(PB),April,2014,670,600,944,772
ABOHAR(PB),May,2010,2050,391,578,494
ABOHAR(PB),May,2011,1010,323,513,444
ABOHAR(PB),May,2012,300,250,675,500
ABOHAR(PB),May,2013,1410,617,980,814
ABOHAR(PB),May,2014,1350,789,1111,953
ABOHAR(PB),May,2015,940,1020,1620,1310
ABOHAR(PB),June,2010,2075,363,515,460
ABOHAR(PB),June,2011,1895,338,547,469
ABOHAR(PB),June,2012,1440,443,650,557
ABOHAR(PB),June,2013,1645,853,1297,1110
ABOHAR(PB),June,2014,1300,683,1129,942
ABOHAR(PB),June,2015,610,957,1829,1457
ABOHAR(PB),June,2016,710,523,755,613
ABOHAR(PB),July,2010,2515,481,737,617
ABOHAR(PB),July,2011,1235,660,915,780
ABOHAR(PB),July,2012,1070,516,780,693
ABOHAR(PB),July,2013,1325,1913,2453,2187
ABOHAR(PB),July,2014,880,1300,2325,1883
ABOHAR(PB),July,2015,795,1008,2000,1517
ABOHAR(PB),August,2010,1125,591,1081,877
ABOHAR(PB),August,2011,1495,900,1217,1050
ABOHAR(PB),August,2012,775,638,913,786
ABOHAR(PB),August,2013,1072,3364,3959,3718
ABOHAR(PB),August,2014,885,1331,2185,1923
ABOHAR(PB),August,2016,60,650,1065,850
ABOHAR(PB),September,2010,395,836,1528,1318
ABOHAR(PB),September,2011,545,925,1406,1225
ABOHAR(PB),September,2012,200,517,917,775
ABOHAR(PB),September,2013,575,4273,5109,4800
ABOHAR(PB),September,2014,1245,1325,2063,1884
ABOHAR(PB),September,2016,400,650,800,725
ABOHAR(PB),October,2009,480,1479,1818,1664
ABOHAR(PB),October,2010,435,989,1770,1504
ABOHAR(PB),October,2011,970,956,1322,1119
ABOHAR(PB),October,2012,315,650,1088,925
ABOHAR(PB),October,2013,400,2979,5079,4429
ABOHAR(PB),October,2014,535,1314,2136,1914
ABOHAR(PB),October,2016,350,700,900,850
ABOHAR(PB),November,2009,315,1269,1663,1497
ABOHAR(PB),November,2010,320,1321,1892,1633
ABOHAR(PB),November,2011,445,800,1200,992
ABOHAR(PB),November,2012,675,806,1381,1150
ABOHAR(PB),November,2013,575,2250,3600,2867
ABOHAR(PB),November,2014,625,1325,2000,1781
ABOHAR(PB),November,2016,590,775,1059,888
ABOHAR(PB),December,2009,335,1292,1581,1450
ABOHAR(PB),December,2010,350,2522,3344,3028
ABOHAR(PB),December,2011,50,500,800,600
ABOHAR(PB),December,2012,310,880,1565,1270
ABOHAR(PB),December,2013,470,1675,2356,1938
ABOHAR(PB),December,2014,1155,1294,1903,1659
ABOHAR(PB),December,2016,330,688,1100,873
AGRA(UP),January,2008,50000,491,567,522
AGRA(UP),January,2009,26500,1220,1327,1259
AGRA(UP),January,2010,45430,1249,1366,1308
AGRA(UP),January,2011,27385,2893,3141,3005
AGRA(UP),January,2012,59900,661,755,715
AGRA(UP),January,2013,64940,1238,1349,1292
AGRA(UP),January,2014,143920,1102,1246,1200
AGRA(UP),January,2015,64990,1587,1746,1693
AGRA(UP),January,2016,134200,1039,1443,1349
AGRA(UP),February,2008,84200,320,407,354
AGRA(UP),February,2009,36900,997,1078,1043
AGRA(UP),February,2010,52580,1189,1321,1256
AGRA(UP),February,2011,44110,1287,1424,1371
AGRA(UP),February,2012,62410,602,709,653
AGRA(UP),February,2013,47690,1656,1799,1746
AGRA(UP),February,2014,96950,1111,1225,1177
AGRA(UP),February,2015,56004,1476,1633,1583
AGRA(UP),February,2016,124508,895,1220,1130
AGRA(UP),March,2008,47550,375,470,423
AGRA(UP),March,2009,43600,1056,1157,1096
AGRA(UP),March,2010,67050,1163,1254,1205
AGRA(UP),March,2011,51810,797,906,877
AGRA(UP),March,2012,64175,611,708,658
AGRA(UP),March,2013,71945,1256,1352,1305
AGRA(UP),March,2014,100060,1048,1189,1146
AGRA(UP),March,2015,56330,1660,1799,1750
AGRA(UP),March,2016,120500,750,1085,1011
AGRA(UP),April,2008,42650,385,469,418
AGRA(UP),April,2009,81100,691,776,747
AGRA(UP),April,2010,106690,714,822,779
AGRA(UP),April,2011,47870,631,705,673
AGRA(UP),April,2012,67000,615,688,650
AGRA(UP),April,2013,93980,1142,1215,1176
AGRA(UP),April,2014,60150,1058,1182,1147
AGRA(UP),April,2015,63800,1367,1561,1506
AGRA(UP),April,2016,99700,697,1020,957
AGRA(UP),May,2008,69900,300,367,328
AGRA(UP),May,2009,79860,629,707,680
AGRA(UP),May,2010,97650,568,705,661
AGRA(UP),May,2011,90900,573,652,615
AGRA(UP),May,2012,83300,566,645,608
AGRA(UP),May,2013,79860,1015,1090,1055
AGRA(UP),May,2014,41045,1073,1190,1156
AGRA(UP),May,2015,79030,1265,1392,1346
AGRA(UP),May,2016,124400,760,986,885
AGRA(UP),June,2008,87860,313,365,341
AGRA(UP),June,2009,105372,552,642,609
