market,month,year,quantity,priceMin,priceMax,priceMod,state,city,date
ABOHAR(PB),January,2010,790,1283,1592,1460,PB,ABOHAR,January-2010
ABOHAR(PB),January,2011,245,3067,3750,3433,PB,ABOHAR,January-2011
ABOHAR(PB),January,2012,1035,523,686,605,PB,ABOHAR,January-2012
ABOHAR(PB),January,2013,675,1327,1900,1605,PB,ABOHAR,January-2013
ABOHAR(PB),January,2014,440,1025,1481,1256,PB,ABOHAR,January-2014
ABOHAR(PB),January,2015,1305,1309,1858,1613,PB,ABOHAR,January-2015
ABOHAR(PB),February,2010,555,1143,1460,1322,PB,ABOHAR,February-2010
ABOHAR(PB),February,2011,300,950,1400,1125,PB,ABOHAR,February-2011
ABOHAR(PB),February,2012,675,510,650,570,PB,ABOHAR,February-2012
ABOHAR(PB),February,2013,845,1400,1843,1629,PB,ABOHAR,February-2013
ABOHAR(PB),February,2014,1115,831,1163,983,PB,ABOHAR,February-2014
ABOHAR(PB),February,2015,1115,1200,1946,1688,PB,ABOHAR,February-2015
ABOHAR(PB),March,2010,385,510,878,688,PB,ABOHAR,March-2010
ABOHAR(PB),March,2011,850,669,1042,855,PB,ABOHAR,March-2011
ABOHAR(PB),March,2012,1295,538,675,608,PB,ABOHAR,March-2012
ABOHAR(PB),March,2013,1055,920,1323,1080,PB,ABOHAR,March-2013
ABOHAR(PB),March,2014,1300,844,1181,994,PB,ABOHAR,March-2014
ABOHAR(PB),March,2015,920,1260,1980,1745,PB,ABOHAR,March-2015
ABOHAR(PB),April,2010,840,466,755,611,PB,ABOHAR,April-2010
ABOHAR(PB),April,2011,495,436,625,553,PB,ABOHAR,April-2011
ABOHAR(PB),April,2012,2028,486,709,573,PB,ABOHAR,April-2012
ABOHAR(PB),April,2013,932,892,1225,1035,PB,ABOHAR,April-2013
ABOHAR(PB),April,2014,670,600,944,772,PB,ABOHAR,April-2014
ABOHAR(PB),May,2010,2050,391,578,494,PB,ABOHAR,May-2010
ABOHAR(PB),May,2011,1010,323,513,444,PB,ABOHAR,May-2011
ABOHAR(PB),May,2012,300,250,675,500,PB,ABOHAR,May-2012
ABOHAR(PB),May,2013,1410,617,980,814,PB,ABOHAR,May-2013
ABOHAR(PB),May,2014,1350,789,1111,953,PB,ABOHAR,May-2014
ABOHAR(PB),May,2015,940,1020,1620,1310,PB,ABOHAR,May-2015
ABOHAR(PB),June,2010,2075,363,515,460,PB,ABOHAR,June-2010
ABOHAR(PB),June,2011,1895,338,547,469,PB,ABOHAR,June-2011
ABOHAR(PB),June,2012,1440,443,650,557,PB,ABOHAR,June-2012
